fwhm_etoile,uncertainty_etoile,fwhm_psf,uncertainty_psf,ratio,psf_utilisee,groupe
6,0.0046855922589867675,7.0,0.007546130855572989,0.8571428571428571,PSF,Non résolue
357,0.08126404653499282,,,,Moyenne,Non résolue
443,0.05765981891201706,7.0,0.007546130855572989,63.285714285714285,Moyenne,Nettement résolue
18,0.022071953456884154,6.0,0.006171381613646808,3.0,Moyenne,Nettement résolue
18,0.016536375370990546,80.0,0.062180443832668464,0.225,PSF,Non résolue
12,0.009708966610047531,,,,Moyenne,Non résolue
6,0.005002192216174174,7.0,0.007546130855572989,0.8571428571428571,Moyenne,Non résolue
9,0.006854115262075565,6.0,0.0049046921359983476,1.5,PSF,Marginalement résolue
8,0.006015934712333749,6.0,0.005866544070029502,1.3333333333333333,Moyenne,Marginalement résolue
6,0.005783181367671841,6.0,0.005132452177978372,1.0,Moyenne,Non résolue
6,0.006268107259877489,6.0,0.0054204441293843044,1.0,PSF,Non résolue
10,0.00830210120834488,6.0,0.005866544070029502,1.6666666666666667,Moyenne,Marginalement résolue
10,0.00825903596919367,7.0,0.007546130855572989,1.4285714285714286,Moyenne,Marginalement résolue
10,0.008177431856988064,6.0,0.005132452177978372,1.6666666666666667,Moyenne,Marginalement résolue
10,0.00856322865298768,7.0,0.006822722809059311,1.4285714285714286,Moyenne,Marginalement résolue
12,0.00950339780539851,6.0,0.0044486642608449105,2.0,PSF,Marginalement résolue
6,0.004846879284377457,6.0,0.005866544070029502,1.0,Moyenne,Non résolue
6,0.005007850047158648,7.0,0.007546130855572989,0.8571428571428571,PSF,Non résolue
6,0.006614741143393981,7.0,0.007546130855572989,0.8571428571428571,PSF,Non résolue
6,0.005686691248511021,6.0,0.005513750815578864,1.0,PSF,Non résolue
48,0.04315905586205888,,,,Moyenne,Non résolue
48,0.04201169708966343,7.0,0.007546130855572989,6.857142857142857,Moyenne,Nettement résolue
6,0.0053913800843086,,,,Moyenne,Non résolue
54,0.09398512822357492,6.0,0.006355021598537894,9.0,PSF,Nettement résolue
8,0.005939324713318054,6.0,0.005235799219490286,1.3333333333333333,PSF,Marginalement résolue
20,0.01701381027525017,7.0,0.007546130855572989,2.857142857142857,Moyenne,Nettement résolue
8,0.006380910334419989,6.0,0.0049046921359983476,1.3333333333333333,PSF,Marginalement résolue
8,0.006316901905564929,,,,Moyenne,Non résolue
6,0.004980302136436633,6.0,0.006171381613646808,1.0,Moyenne,Non résolue
6,0.005096278354655618,6.0,0.005866544070029502,1.0,Moyenne,Non résolue
171,0.09932250623033088,6.0,0.005192545155608269,28.5,PSF,Nettement résolue
26,0.010730302945186166,,,,Moyenne,Non résolue
19,0.012407704129078875,7.0,0.007546130855572989,2.7142857142857144,Moyenne,Nettement résolue
8,0.00794724112020349,6.0,0.005192545155608269,1.3333333333333333,Moyenne,Marginalement résolue
69,0.044121742178343214,6.0,0.00608561734947443,11.5,Moyenne,Nettement résolue
6,0.004729363588765473,6.0,0.005714154675032911,1.0,PSF,Non résolue
10,0.008308620491774625,,,,Moyenne,Non résolue
19,0.013851965633230554,,,,Moyenne,Non résolue
8,0.006960403547638883,6.0,0.005405841658192386,1.3333333333333333,Moyenne,Marginalement résolue
7,0.0058524969329751654,6.0,0.005866544070029502,1.1666666666666667,Moyenne,Marginalement résolue
79,0.05822953523698628,,,,Moyenne,Non résolue
90,0.0690458748165915,7.0,0.007546130855572989,12.857142857142858,Moyenne,Nettement résolue
18,0.008775225505535868,6.0,0.005132452177978372,3.0,Moyenne,Nettement résolue
6,0.005556246719476929,6.0,0.0047840197721081895,1.0,PSF,Non résolue
8,0.007001353398526841,6.0,0.005405841658192386,1.3333333333333333,Moyenne,Marginalement résolue
491,0.006858409449761271,4.0,0.004782216207028716,122.75,PSF,Nettement résolue
6,0.005567473792569169,7.0,0.007546130855572989,0.8571428571428571,PSF,Non résolue
6,0.005689683859922464,6.0,0.006171381613646808,1.0,Moyenne,Non résolue
6,0.0056220949652007225,6.0,0.00542801043234239,1.0,PSF,Non résolue
7,0.00634622393144478,7.0,0.006527648172250896,1.0,PSF,Non résolue
10,0.008557414754240957,,,,Moyenne,Non résolue
8,0.006569518408533685,6.0,0.005866544070029502,1.3333333333333333,Moyenne,Marginalement résolue
8,0.006328683694935314,6.0,0.005358804865115952,1.3333333333333333,PSF,Marginalement résolue
30,0.01625435925457841,6.0,0.0052433453331004725,5.0,PSF,Nettement résolue
8,0.00642360816965204,,,,Moyenne,Non résolue
12,0.009747414999344868,6.0,0.005405841658192386,2.0,Moyenne,Marginalement résolue
6,0.005702243353568555,7.0,0.007546130855572989,0.8571428571428571,PSF,Non résolue
7,0.005983928406900516,6.0,0.005866544070029502,1.1666666666666667,Moyenne,Marginalement résolue
8,0.006693816464998182,6.0,0.005225662222624046,1.3333333333333333,PSF,Marginalement résolue
23,0.01692709356984193,6.0,0.005132452177978372,3.8333333333333335,Moyenne,Nettement résolue
93,0.06277827566568113,,,,Moyenne,Non résolue
10,0.008886097353126777,7.0,0.007546130855572989,1.4285714285714286,Moyenne,Marginalement résolue
6,0.005310756258731953,6.0,0.005235799219490286,1.0,PSF,Non résolue
7,0.006043861802218757,10.0,0.008073090168733312,0.7,PSF,Non résolue
14,0.01099828891070239,7.0,0.007546130855572989,2.0,Moyenne,Marginalement résolue
7,0.0067156510261978065,7.0,0.006822722809059311,1.0,PSF,Non résolue
8,0.006247407514520861,6.0,0.0047840197721081895,1.3333333333333333,PSF,Marginalement résolue
8,0.0065955482784856075,8.0,0.007433927771399886,1.0,PSF,Non résolue
16,0.011442901159411463,6.0,0.006171381613646808,2.6666666666666665,Moyenne,Nettement résolue
6,0.005308934766887662,7.0,0.006527648172250896,0.8571428571428571,PSF,Non résolue
8,0.006665147152218632,6.0,0.005866544070029502,1.3333333333333333,Moyenne,Marginalement résolue
78,0.061215192439688954,,,,Moyenne,Non résolue
176,0.11172459703535939,7.0,0.007546130855572989,25.142857142857142,Moyenne,Nettement résolue
6,0.006166681098132142,6.0,0.005132452177978372,1.0,Moyenne,Non résolue
6,0.005422341728323204,7.0,0.007546130855572989,0.8571428571428571,Moyenne,Non résolue
8,0.006527399318272129,7.0,0.006099585680465696,1.1428571428571428,PSF,Marginalement résolue
10,0.009746729059507787,6.0,0.00608561734947443,1.6666666666666667,Moyenne,Marginalement résolue
12,0.014577352451094563,20.0,0.012256449230849882,0.6,PSF,Non résolue
10,0.007360758066795495,7.0,0.007546130855572989,1.4285714285714286,PSF,Marginalement résolue
6,0.005080119700826145,6.0,0.005235799219490286,1.0,PSF,Non résolue
8,0.007112500195323793,6.0,0.005098045179022507,1.3333333333333333,PSF,Marginalement résolue
8,0.006700008638574777,6.0,0.00608561734947443,1.3333333333333333,Moyenne,Marginalement résolue
6,0.005626514401343477,6.0,0.005866544070029502,1.0,Moyenne,Non résolue
6,0.005912478238199317,6.0,0.00498758320727938,1.0,PSF,Non résolue
8,0.006562638905574275,,,,Moyenne,Non résolue
